AE 771 — Nozzle Coordinates
==========================================

RAO NOZZLE
------------------------------------------
      x (in)        y (in)       -y (in)
   -7.283200     10.300000    -10.300000
   -7.159756      9.974393     -9.974393
   -7.036312      9.686592     -9.686592
   -6.912868      9.427119     -9.427119
   -6.789424      9.189983     -9.189983
   -6.665980      8.971112     -8.971112
   -6.542535      8.767585     -8.767585
   -6.419091      8.577223     -8.577223
   -6.295647      8.398344     -8.398344
   -6.172203      8.229623     -8.229623
   -6.048759      8.069988     -8.069988
   -5.925315      7.918563     -7.918563
   -5.801871      7.774616     -7.774616
   -5.678427      7.637530     -7.637530
   -5.554983      7.506780     -7.506780
   -5.431539      7.381912     -7.381912
   -5.308095      7.262536     -7.262536
   -5.184651      7.148306     -7.148306
   -5.061207      7.038922     -7.038922
   -4.937763      6.934114     -6.934114
   -4.814319      6.833646     -6.833646
   -4.690874      6.737303     -6.737303
   -4.567430      6.644895     -6.644895
   -4.443986      6.556249     -6.556249
   -4.320542      6.471209     -6.471209
   -4.197098      6.389633     -6.389633
   -4.073654      6.311391     -6.311391
   -3.950210      6.236366     -6.236366
   -3.826766      6.164450     -6.164450
   -3.703322      6.095543     -6.095543
   -3.579878      6.029556     -6.029556
   -3.456434      5.966405     -5.966405
   -3.332990      5.906011     -5.906011
   -3.209546      5.848305     -5.848305
   -3.086102      5.793220     -5.793220
   -2.962658      5.740697     -5.740697
   -2.839213      5.690677     -5.690677
   -2.715769      5.643111     -5.643111
   -2.592325      5.597949     -5.597949
   -2.468881      5.555147     -5.555147
   -2.345437      5.514664     -5.514664
   -2.221993      5.476462     -5.476462
   -2.098549      5.440505     -5.440505
   -1.975105      5.406762     -5.406762
   -1.851661      5.375202     -5.375202
   -1.728217      5.345797     -5.345797
   -1.604773      5.318524     -5.318524
   -1.481329      5.293358     -5.293358
   -1.357885      5.270279     -5.270279
   -1.234441      5.249268     -5.249268
   -1.110997      5.230308     -5.230308
   -0.987553      5.213384     -5.213384
   -0.864108      5.198481     -5.198481
   -0.740664      5.185589     -5.185589
   -0.617220      5.174697     -5.174697
   -0.493776      5.165797     -5.165797
   -0.370332      5.158882     -5.158882
   -0.246888      5.153946     -5.153946
   -0.123444      5.150986     -5.150986
    0.000000      5.150000     -5.150000
    0.000000      5.150000     -5.150000
    0.029650      5.150223     -5.150223
    0.059300      5.150894     -5.150894
    0.088950      5.152012     -5.152012
    0.118600      5.153578     -5.153578
    0.148250      5.155594     -5.155594
    0.177900      5.158060     -5.158060
    0.207550      5.160979     -5.160979
    0.237200      5.164352     -5.164352
    0.266850      5.168182     -5.168182
    0.296500      5.172472     -5.172472
    0.326150      5.177224     -5.177224
    0.355800      5.182442     -5.182442
    0.385450      5.188130     -5.188130
    0.415100      5.194292     -5.194292
    0.444750      5.200932     -5.200932
    0.474400      5.208056     -5.208056
    0.504050      5.215668     -5.215668
    0.533700      5.223776     -5.223776
    0.563350      5.232385     -5.232385
    0.593000      5.241501     -5.241501
    0.622650      5.251134     -5.251134
    0.652300      5.261290     -5.261290
    0.681950      5.271978     -5.271978
    0.711600      5.283208     -5.283208
    0.741250      5.294989     -5.294989
    0.770900      5.307332     -5.307332
    0.800550      5.320250     -5.320250
    0.830200      5.333754     -5.333754
    0.859850      5.347857     -5.347857
    0.889500      5.362575     -5.362575
    0.919150      5.377923     -5.377923
    0.948800      5.393917     -5.393917
    0.978450      5.410577     -5.410577
    1.008100      5.427920     -5.427920
    1.037750      5.445970     -5.445970
    1.067400      5.464748     -5.464748
    1.097050      5.484281     -5.484281
    1.126700      5.504595     -5.504595
    1.156350      5.525721     -5.525721
    1.156350      5.525721     -5.525721
    1.433351      5.725780     -5.725780
    1.713637      5.925840     -5.925840
    1.997208      6.125899     -6.125899
    2.284064      6.325959     -6.325959
    2.574205      6.526018     -6.526018
    2.867632      6.726078     -6.726078
    3.164343      6.926137     -6.926137
    3.464340      7.126197     -7.126197
    3.767622      7.326256     -7.326256
    4.074189      7.526315     -7.526315
    4.384041      7.726375     -7.726375
    4.697179      7.926434     -7.926434
    5.013601      8.126494     -8.126494
    5.333309      8.326553     -8.326553
    5.656301      8.526613     -8.526613
    5.982579      8.726672     -8.726672
    6.312142      8.926732     -8.926732
    6.644990      9.126791     -9.126791
    6.981123      9.326851     -9.326851
    7.320542      9.526910     -9.526910
    7.663245      9.726970     -9.726970
    8.009234      9.927029     -9.927029
    8.358508     10.127088    -10.127088
    8.711067     10.327148    -10.327148
    9.066911     10.527207    -10.527207
    9.426040     10.727267    -10.727267
    9.788455     10.927326    -10.927326
   10.154154     11.127386    -11.127386
   10.523139     11.327445    -11.327445
   10.895408     11.527505    -11.527505
   11.270963     11.727564    -11.727564
   11.649803     11.927624    -11.927624
   12.031929     12.127683    -12.127683
   12.417339     12.327743    -12.327743
   12.806034     12.527802    -12.527802
   13.198015     12.727861    -12.727861
   13.593281     12.927921    -12.927921
   13.991832     13.127980    -13.127980
   14.393668     13.328040    -13.328040
   14.798789     13.528099    -13.528099
   15.207195     13.728159    -13.728159
   15.618887     13.928218    -13.928218
   16.033863     14.128278    -14.128278
   16.452125     14.328337    -14.328337
   16.873672     14.528397    -14.528397
   17.298504     14.728456    -14.728456
   17.726621     14.928515    -14.928515
   18.158023     15.128575    -15.128575
   18.592710     15.328634    -15.328634
   19.030683     15.528694    -15.528694
   19.471941     15.728753    -15.728753
   19.916483     15.928813    -15.928813
   20.364311     16.128872    -16.128872
   20.815424     16.328932    -16.328932
